age,gender,address,family_size,parent_status,mother_education,father_education,mother_job,father_job,reason,guardian,travel_time,study_time,past_failures,school_support,family_support,paid_classes,activities,nursery,higher_education_goal,internet_access,romantic_relationship,family_relations,free_time,go_out,workday_alcohol,weekend_alcohol,health_status,absences,attendance_rate,grade_period1,grade_period2,final_grade,passed,parent_edu_avg,alcohol_total,support_score,academic_history,grade_improvement,absence_category,study_efficiency,at_risk_score
21,1,1,0,1,3.0,3.0,4,2,2,1,1,2,0,0,1,0,0,0,1,1,0,2,1,2,1,2,5.0,0,98.6,11,16,17,1,3.0,3,1,13.5,5,0,0.6666666666666666,3
16,0,0,0,0,2.0,2.0,2,2,2,1,1,1,0,1,1,0,0,1,1,0,0,4,3,1,2,3,1.0,6,83.7,10,12,13,1,2.0,5,2,11.0,2,1,0.5,6
18,0,1,0,1,3.0,2.0,0,2,2,0,1,3,0,0,0,0,1,0,1,1,1,1,4,4,3,1,2.0,5,89.9,15,17,16,1,2.5,4,0,16.0,2,1,0.6,5
18,1,0,0,1,2.0,1.0,0,2,3,2,1,3,2,1,1,0,0,1,1,1,1,5,2,5,3,3,3.0,1,94.0,11,12,9,0,1.5,6,2,11.5,1,0,0.5,10
21,1,1,0,1,2.0,4.0,4,3,0,1,3,2,0,1,1,0,1,1,1,1,0,1,5,5,2,1,4.0,2,93.2,13,12,16,1,3.0,3,2,12.5,-1,0,0.3333333333333333,3
20,1,1,0,1,4.0,3.0,0,2,3,1,1,1,1,0,0,1,1,0,1,1,0,1,5,1,3,5,5.0,1,91.0,10,7,8,0,3.5,8,0,8.5,-3,0,0.5,10
20,1,1,1,1,1.0,,3,4,0,0,1,3,1,0,0,1,0,0,1,1,0,4,2,2,5,5,1.0,1,93.0,7,10,8,0,,10,0,8.5,3,0,1.0,12
21,0,1,1,1,1.0,3.0,4,3,1,1,1,1,0,1,0,0,1,1,1,0,0,4,5,2,2,3,2.0,5,82.3,10,12,11,1,2.0,5,1,11.0,2,1,0.3333333333333333,6
20,1,1,0,1,0.0,3.0,3,4,2,0,4,4,0,0,0,0,1,0,1,1,0,5,3,3,2,4,1.0,1,92.8,11,15,15,1,1.5,6,0,13.0,4,0,1.0,6
17,1,1,0,1,2.0,3.0,2,3,2,1,2,2,0,0,1,1,1,1,1,0,0,5,2,3,2,3,2.0,5,78.7,12,9,11,1,2.5,5,1,10.5,-3,1,0.5,6
18,1,1,0,1,1.0,2.0,0,2,3,1,3,2,0,1,1,0,1,1,1,1,0,3,1,4,1,1,4.0,9,69.2,14,13,15,1,1.5,2,2,13.5,-1,2,0.4,3
21,1,1,1,0,4.0,2.0,3,3,3,1,4,3,0,0,0,0,0,0,1,1,0,1,1,1,3,3,3.0,1,100.0,16,18,16,1,3.0,6,0,17.0,2,0,1.5,6
18,0,1,1,1,2.0,3.0,4,0,1,1,2,3,0,1,0,1,1,1,1,1,0,5,4,2,4,3,3.0,6,84.3,9,12,12,1,2.5,7,1,10.5,3,1,1.0,8
15,0,0,0,0,2.0,3.0,0,3,0,1,1,2,3,0,0,0,0,1,1,1,1,4,2,3,3,1,2.0,1,100.0,7,8,4,0,2.5,4,0,7.5,1,0,0.5,10
17,0,0,1,0,2.0,4.0,0,3,3,1,1,2,0,0,1,0,0,1,1,0,0,3,3,1,3,4,1.0,0,100.0,17,19,19,1,3.0,7,1,18.0,2,0,1.0,7
19,1,0,0,1,4.0,4.0,0,2,2,0,1,2,0,0,1,0,1,1,1,1,1,3,2,1,1,5,3.0,0,97.7,15,18,20,1,4.0,6,1,16.5,3,0,1.0,6
17,1,0,0,1,3.0,2.0,3,3,0,1,2,4,1,1,1,1,0,0,1,1,0,4,2,2,5,1,1.0,4,85.4,16,20,17,1,2.5,6,2,18.0,4,1,1.3333333333333333,8
21,0,1,0,1,3.0,2.0,3,2,0,2,1,3,0,0,1,1,1,1,1,0,1,5,3,1,5,3,,0,100.0,12,16,15,1,2.5,8,1,14.0,4,0,1.5,8
19,1,1,0,1,4.0,3.0,0,3,0,1,1,2,0,0,0,0,0,1,1,1,0,4,5,5,1,2,,8,77.8,10,12,14,1,3.5,3,0,11.0,2,2,0.3333333333333333,4
15,1,0,0,1,3.0,2.0,1,4,1,0,2,1,1,1,1,0,0,1,1,0,0,5,3,3,1,3,5.0,6,88.2,9,10,10,1,2.5,4,2,9.5,1,1,0.25,7
21,0,1,0,0,2.0,0.0,2,3,2,1,2,2,0,1,1,1,0,0,1,1,1,4,2,4,1,3,5.0,2,85.1,12,15,15,1,1.0,4,2,13.5,3,0,0.4,4
16,0,1,0,0,2.0,4.0,0,2,0,1,2,2,0,1,0,1,1,0,1,1,1,4,2,3,3,2,3.0,2,96.7,16,19,19,1,3.0,5,1,17.5,3,0,0.5,5
18,0,1,0,1,3.0,2.0,3,4,2,0,1,2,3,0,1,1,0,0,1,0,1,2,2,1,1,3,5.0,3,100.0,4,3,2,0,2.5,4,1,3.5,-1,1,1.0,10
15,0,1,1,1,2.0,4.0,3,4,3,0,3,3,0,1,0,1,0,1,0,1,1,5,2,5,4,2,1.0,3,90.5,13,16,15,1,3.0,6,1,14.5,3,1,0.5,6
18,1,1,1,1,3.0,3.0,2,1,0,0,2,1,0,0,1,0,1,1,1,1,0,1,4,3,2,3,4.0,2,98.1,8,7,13,1,3.0,5,1,7.5,-1,0,0.25,5
20,1,0,1,0,2.0,4.0,1,2,1,0,1,2,0,0,1,1,0,1,1,1,0,2,5,2,5,4,1.0,1,91.4,11,12,12,1,3.0,9,1,11.5,1,0,0.6666666666666666,9
16,0,1,0,1,3.0,2.0,3,2,0,0,2,3,0,1,1,1,0,0,0,1,0,2,2,5,4,5,2.0,7,79.5,10,13,12,1,2.5,9,2,11.5,3,1,0.5,10
16,1,1,0,1,1.0,2.0,0,0,0,1,4,2,2,0,1,1,1,0,1,1,0,2,4,3,5,4,2.0,0,95.6,5,6,1,0,1.5,9,1,5.5,1,0,0.5,13
15,0,0,0,1,2.0,3.0,3,3,0,0,1,1,1,0,0,1,1,0,1,1,1,2,2,1,3,1,1.0,1,100.0,6,8,5,0,2.5,4,0,7.0,2,0,0.5,6
16,0,1,1,1,3.0,2.0,2,2,0,0,1,1,0,0,1,0,0,1,1,0,0,1,5,2,3,1,2.0,3,100.0,10,10,12,1,2.5,4,1,10.0,0,1,0.3333333333333333,4
19,1,1,1,0,4.0,2.0,4,2,1,2,2,1,3,1,0,1,1,1,1,1,1,2,5,1,1,3,4.0,6,82.5,6,4,2,0,3.0,4,1,5.0,-2,1,0.5,11
16,0,1,0,1,3.0,2.0,2,2,2,0,1,3,1,0,1,1,0,1,1,1,0,1,3,1,5,1,2.0,0,100.0,14,14,13,1,2.5,6,1,14.0,0,0,1.5,8
18,1,0,1,1,3.0,2.0,4,2,2,1,3,3,0,0,0,1,0,1,1,1,0,1,4,2,3,1,3.0,3,95.4,13,19,19,1,2.5,4,0,16.0,6,1,1.0,4
18,1,0,0,0,2.0,2.0,4,2,1,1,1,1,0,0,1,0,1,0,1,0,0,2,5,5,3,3,4.0,2,93.1,8,7,9,0,2.0,6,1,7.5,-1,0,0.16666666666666666,6
21,1,1,0,1,2.0,4.0,2,3,2,0,2,2,0,0,0,1,1,1,1,1,0,3,1,3,5,3,3.0,3,100.0,18,20,19,1,3.0,8,0,19.0,2,1,0.5,8
18,1,0,0,1,1.0,2.0,0,2,3,0,2,2,0,1,0,1,0,1,1,1,1,1,2,5,3,5,3.0,1,94.6,6,10,10,1,1.5,8,1,8.0,4,0,0.3333333333333333,8
21,0,1,1,1,2.0,0.0,3,2,0,0,2,2,0,0,0,0,0,0,1,1,1,2,5,2,1,2,4.0,3,89.3,11,8,13,1,1.0,3,0,9.5,-3,1,0.6666666666666666,3
18,1,0,1,1,2.0,3.0,1,4,3,0,1,2,0,1,1,1,0,0,0,1,0,4,4,3,3,3,3.0,0,94.9,9,10,11,1,2.5,6,2,9.5,1,0,0.5,6
19,0,0,1,1,2.0,4.0,0,4,2,1,1,2,0,1,0,1,0,0,1,1,1,4,4,2,4,5,2.0,4,94.4,9,12,11,1,3.0,9,1,10.5,3,1,0.6666666666666666,9
21,0,0,0,1,,2.0,3,2,1,1,1,2,1,0,0,0,1,0,1,1,0,5,4,4,4,4,1.0,4,85.2,10,11,9,0,,8,0,10.5,1,1,0.4,10
17,0,1,0,1,0.0,1.0,2,3,3,1,1,1,1,0,0,0,1,1,1,1,1,1,3,4,1,1,4.0,8,79.3,11,8,8,0,0.5,2,0,9.5,-3,2,0.2,5
20,0,0,1,1,3.0,3.0,2,2,3,0,1,3,0,0,0,1,0,1,1,1,0,1,2,5,4,2,1.0,0,98.3,16,16,18,1,3.0,6,0,16.0,0,0,0.5,6
15,1,0,0,0,3.0,4.0,0,3,3,0,3,3,2,1,0,0,1,1,1,1,0,4,1,2,3,4,4.0,3,89.9,12,12,9,0,3.5,7,1,12.0,0,1,1.0,11
18,1,1,0,0,3.0,4.0,3,1,0,1,1,4,0,0,1,0,1,1,1,0,0,1,4,3,4,3,4.0,1,96.4,18,18,20,1,3.5,7,1,18.0,0,0,1.0,7
16,0,0,1,1,3.0,3.0,3,4,1,0,2,1,0,0,0,0,0,0,1,1,0,1,2,5,4,4,,0,97.9,11,14,12,1,3.0,8,0,12.5,3,0,0.16666666666666666,8
18,0,1,0,1,2.0,2.0,0,1,0,1,1,3,0,0,1,0,1,0,1,1,0,4,4,4,3,5,1.0,1,100.0,14,16,16,1,2.0,8,1,15.0,2,0,0.6,8
16,1,0,0,1,2.0,3.0,4,3,2,1,2,3,1,0,0,0,1,1,1,1,0,2,4,4,5,3,2.0,1,99.7,11,14,12,1,2.5,8,0,12.5,3,0,0.6,10
20,0,1,1,1,4.0,1.0,3,3,0,0,4,4,2,1,1,0,0,1,1,1,0,4,1,4,1,3,1.0,0,100.0,15,14,15,1,2.5,4,2,14.5,-1,0,0.8,8
20,1,0,1,0,4.0,3.0,4,2,2,1,1,2,1,1,1,1,1,1,1,1,0,3,2,5,5,2,4.0,4,87.9,8,7,10,1,3.5,7,2,7.5,-1,1,0.3333333333333333,9
20,0,1,0,1,2.0,3.0,4,2,3,0,3,3,2,0,0,1,1,1,1,1,1,4,4,3,5,5,2.0,3,86.2,11,13,9,0,2.5,10,0,12.0,2,1,0.75,14
16,1,1,0,1,1.0,4.0,1,3,3,0,2,1,0,0,0,1,0,1,1,1,1,4,3,4,4,1,3.0,0,96.9,15,15,18,1,2.5,5,0,15.0,0,0,0.2,5
18,0,1,0,1,4.0,2.0,3,3,3,0,3,3,1,1,0,0,0,0,0,1,1,2,4,5,2,4,2.0,2,94.9,11,10,9,0,3.0,6,1,10.5,-1,0,0.5,8
20,0,1,0,1,2.0,0.0,2,3,1,1,2,2,0,0,0,0,1,1,1,1,0,4,2,5,5,2,2.0,1,97.2,13,13,13,1,1.0,7,0,13.0,0,0,0.3333333333333333,7
19,1,1,0,1,3.0,3.0,3,0,2,1,1,3,0,0,1,0,1,1,1,0,0,4,5,1,3,2,1.0,10,75.8,11,14,12,1,3.0,5,1,12.5,3,2,1.5,7
21,0,1,0,1,3.0,3.0,3,3,1,0,1,3,0,1,1,1,1,1,1,1,0,2,4,1,3,3,4.0,1,100.0,17,16,17,1,3.0,6,2,16.5,-1,0,1.5,6
16,0,1,0,0,2.0,4.0,4,4,2,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,3,4,4.0,0,97.8,15,11,16,1,3.0,7,1,13.0,-4,0,0.5,7
16,1,1,0,0,3.0,2.0,0,4,1,0,2,2,0,0,0,1,1,0,1,1,0,2,3,4,2,2,4.0,1,100.0,14,13,15,1,2.5,4,0,13.5,-1,0,0.4,4
18,0,1,1,1,3.0,2.0,3,4,0,1,4,1,0,0,0,0,0,0,0,1,0,3,4,1,2,3,5.0,1,96.5,14,16,14,1,2.5,5,0,15.0,2,0,0.5,5
16,1,0,0,1,2.0,3.0,0,1,1,1,2,2,0,1,0,1,0,1,1,0,0,2,2,3,1,3,3.0,0,100.0,14,12,13,1,2.5,4,1,13.0,-2,0,0.5,4
16,1,1,0,0,3.0,2.0,2,2,1,0,1,2,0,0,1,0,0,1,1,1,0,1,4,1,2,5,1.0,2,94.5,13,16,17,1,2.5,7,1,14.5,3,0,1.0,7
20,0,0,0,1,4.0,4.0,4,3,0,0,3,1,0,1,1,1,1,1,1,1,0,1,3,4,1,3,4.0,7,89.1,13,14,15,1,4.0,4,2,13.5,1,1,0.2,5
18,0,0,0,1,3.0,3.0,1,2,3,1,2,4,0,1,0,0,0,1,0,1,1,2,4,5,3,1,2.0,4,85.8,13,15,13,1,3.0,4,1,14.0,2,1,0.6666666666666666,4
20,0,1,1,1,1.0,4.0,3,2,0,1,1,1,0,1,1,0,0,1,1,0,1,4,3,4,2,5,5.0,3,96.5,11,14,13,1,2.5,7,2,12.5,3,1,0.2,7
21,0,1,1,0,3.0,3.0,2,2,0,0,1,3,3,1,0,0,0,0,1,0,0,5,5,1,4,5,3.0,1,100.0,6,3,3,0,3.0,9,1,4.5,-3,0,1.5,15
21,0,0,1,1,4.0,4.0,2,2,1,1,1,4,1,0,1,1,0,0,1,0,0,5,4,4,4,1,4.0,0,99.5,12,13,14,1,4.0,5,1,12.5,1,0,0.8,7
20,0,1,0,1,4.0,2.0,2,3,2,1,3,4,0,1,0,0,0,0,1,0,1,3,1,5,4,1,5.0,1,83.0,16,19,18,1,3.0,5,1,17.5,3,0,0.6666666666666666,5
21,0,1,0,0,3.0,4.0,3,3,3,1,3,3,2,0,1,0,1,1,1,1,1,3,4,2,2,2,3.0,0,94.4,11,11,11,1,3.5,4,1,11.0,0,0,1.0,8
18,1,1,1,0,2.0,2.0,2,1,0,1,1,1,0,1,0,0,1,1,1,1,1,5,3,5,2,2,2.0,0,97.8,9,11,10,1,2.0,4,1,10.0,2,0,0.16666666666666666,4
15,0,0,0,0,4.0,3.0,4,2,3,0,1,3,0,0,1,1,1,0,1,1,0,5,2,1,2,1,5.0,2,97.0,18,20,20,1,3.5,3,1,19.0,2,0,1.5,3
20,1,1,0,1,3.0,2.0,4,2,0,1,2,2,0,0,0,0,0,1,1,0,0,2,3,5,4,2,1.0,5,94.1,9,10,11,1,2.5,6,0,9.5,1,1,0.3333333333333333,7
19,0,1,0,1,0.0,3.0,2,2,3,1,4,4,0,0,0,1,0,1,1,1,0,5,5,3,3,1,3.0,0,99.5,20,20,20,1,1.5,4,0,20.0,0,0,1.0,4
19,0,0,0,1,3.0,2.0,2,3,1,1,2,3,0,1,0,1,1,0,1,0,1,1,2,4,5,1,5.0,1,95.3,10,11,11,1,2.5,6,1,10.5,1,0,0.6,6
16,1,0,0,0,2.0,2.0,4,2,3,1,2,3,0,0,1,1,0,1,1,1,1,3,1,2,3,3,5.0,0,100.0,19,20,18,1,2.0,6,1,19.5,1,0,1.0,6
21,0,1,0,1,3.0,4.0,4,4,3,0,1,1,0,0,1,1,1,0,1,1,0,3,1,2,2,2,3.0,1,96.7,15,16,15,1,3.5,4,1,15.5,1,0,0.3333333333333333,4
19,0,1,1,1,2.0,2.0,4,4,3,1,2,2,0,1,0,1,1,1,1,1,0,1,5,4,5,5,5.0,5,87.6,10,12,10,1,2.0,10,1,11.0,2,1,0.4,11
16,1,0,1,0,3.0,4.0,4,2,0,0,1,3,1,1,1,0,1,0,1,1,0,3,5,4,5,5,5.0,0,97.6,9,8,8,0,3.5,10,2,8.5,-1,0,0.6,12
15,0,1,0,1,4.0,4.0,1,3,0,1,3,3,0,0,1,0,0,1,1,1,1,5,5,3,3,2,3.0,3,100.0,17,19,20,1,4.0,5,1,18.0,2,1,0.75,5
18,0,1,0,1,4.0,0.0,2,2,1,1,1,1,1,0,0,1,0,1,1,1,1,3,5,5,4,2,2.0,0,100.0,7,6,6,0,2.0,6,0,6.5,-1,0,0.16666666666666666,8
18,0,1,0,1,4.0,3.0,0,4,3,1,3,4,0,0,0,0,0,1,1,1,0,1,4,2,1,2,1.0,1,100.0,16,20,20,1,3.5,3,0,18.0,4,0,1.3333333333333333,3
18,1,0,1,1,4.0,2.0,2,2,3,1,1,1,3,0,1,0,1,1,1,1,0,3,3,1,4,2,3.0,1,99.4,3,4,0,0,3.0,6,1,3.5,1,0,0.5,12
19,0,1,1,1,0.0,1.0,2,3,1,0,3,3,0,1,1,1,1,0,1,1,0,5,4,4,4,3,4.0,1,100.0,12,15,15,1,0.5,7,2,13.5,3,0,0.6,7
15,0,0,0,1,3.0,2.0,0,2,1,1,1,3,2,0,0,1,1,0,1,1,1,2,2,4,5,1,5.0,3,96.8,8,8,8,0,2.5,6,0,8.0,0,1,0.6,10
19,0,0,1,1,3.0,4.0,2,2,1,0,1,1,1,0,0,1,0,0,1,1,1,5,1,2,2,2,1.0,10,79.2,13,15,15,1,3.5,4,0,14.0,2,2,0.3333333333333333,8
21,0,1,0,1,4.0,0.0,0,2,2,1,2,1,0,0,0,1,1,0,1,1,0,3,1,4,2,2,1.0,0,100.0,12,15,16,1,2.0,4,0,13.5,3,0,0.2,4
19,1,1,0,1,2.0,3.0,3,3,0,1,1,3,0,1,1,1,1,1,1,1,0,4,2,2,5,1,3.0,2,87.4,15,18,18,1,2.5,6,2,16.5,3,0,1.0,6
15,1,1,0,1,4.0,,0,2,1,1,4,2,0,0,0,0,0,0,1,1,1,3,1,1,4,1,4.0,1,89.7,13,17,16,1,,5,0,15.0,4,0,1.0,5
15,0,1,0,0,3.0,4.0,0,1,1,0,2,1,2,0,1,0,0,1,1,1,0,3,5,1,3,1,4.0,22,40.0,4,4,3,0,3.5,4,1,4.0,0,3,0.5,12
21,0,1,0,1,4.0,1.0,2,4,0,1,2,3,0,0,0,1,1,1,1,1,0,1,5,2,1,4,2.0,9,83.4,13,16,15,1,2.5,5,0,14.5,3,2,1.0,6
15,1,0,1,1,1.0,3.0,2,3,3,1,3,3,0,1,0,0,1,0,1,1,0,4,5,4,4,5,4.0,0,100.0,5,9,10,1,2.0,9,1,7.0,4,0,0.6,9
15,1,1,0,0,2.0,3.0,3,2,0,1,3,2,0,1,0,0,0,0,1,1,1,1,2,3,4,2,3.0,10,73.3,12,13,11,1,2.5,6,1,12.5,1,2,0.5,8
18,0,0,0,1,4.0,3.0,2,3,2,1,2,1,0,0,1,1,0,1,1,1,1,1,3,3,1,3,1.0,4,97.3,12,14,16,1,3.5,4,1,13.0,2,1,0.25,4
21,1,1,0,0,0.0,4.0,4,2,0,2,4,1,0,0,0,0,1,1,1,0,0,5,2,5,3,3,1.0,14,70.0,8,9,10,1,2.0,6,0,8.5,1,2,0.16666666666666666,8
17,0,1,0,0,4.0,4.0,2,2,1,1,1,3,2,0,1,0,0,0,1,1,0,2,3,3,1,1,4.0,4,92.6,10,11,9,0,4.0,2,1,10.5,1,1,0.75,6
17,1,1,0,1,0.0,1.0,3,3,0,0,1,2,0,0,0,0,0,0,1,1,0,3,1,4,5,3,5.0,0,100.0,11,12,10,1,0.5,8,0,11.5,1,0,0.4,8
15,1,1,0,0,3.0,3.0,4,2,2,0,2,3,3,0,1,0,1,1,1,1,1,4,1,3,1,5,2.0,4,93.0,11,11,7,0,3.0,6,1,11.0,0,1,0.75,12
17,1,0,1,1,3.0,2.0,3,4,0,1,1,3,0,0,0,0,1,0,1,1,1,3,1,5,1,2,4.0,3,86.4,16,18,20,1,2.5,3,0,17.0,2,1,0.5,3
17,1,1,0,1,3.0,2.0,0,2,0,1,2,2,0,0,1,1,1,1,1,1,0,1,3,1,4,3,3.0,0,100.0,11,15,14,1,2.5,7,1,13.0,4,0,1.0,7
15,0,1,0,1,3.0,3.0,4,3,3,0,1,1,0,1,1,0,0,0,1,1,0,2,1,2,4,5,2.0,4,92.7,15,15,14,1,3.0,9,2,15.0,0,1,0.3333333333333333,9
17,1,1,0,1,2.0,2.0,2,3,3,1,1,4,1,0,0,0,1,0,1,1,0,1,2,3,2,5,4.0,3,92.3,19,19,19,1,2.0,7,0,19.0,0,1,1.0,9
19,1,1,0,0,2.0,3.0,4,3,0,1,3,2,0,0,0,0,1,1,1,1,0,3,3,2,1,4,2.0,15,58.9,13,16,15,1,2.5,5,0,14.5,3,2,0.6666666666666666,8
16,0,1,1,1,1.0,4.0,2,1,2,0,2,3,0,0,1,0,1,1,1,0,0,5,5,2,5,4,5.0,2,86.4,13,18,16,1,2.5,9,1,15.5,5,0,1.0,9
